2016-06-26 06:38:36Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:36Z: Second input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:37Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:37Z: Second input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:38Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:38Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:38Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:39Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:39Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:39Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:39Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:40Z: First input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:40Z: Second input sequence alphabet does not match similarity matrix alphabet. (, data )
2016-06-26 06:38:40Z: Second input sequence alphabet does not match similarity matrix alphabet. (, data )
